lake,site,date,time,totaldepth,secchi,distoutlet,depth,temp,spcond,do,ph,turb,daylighthours,depthbelow4
CLBCE,1,20150528,15:08,6.4,57.6,1740,0,26.2,620.1,9.2,8.8,2.5,9.1,
CLBCE,1,20150528,15:08,6.4,57.6,1740,1,23.6,608.1,9.9,8.9,2.4,9.1,
CLBCE,1,20150528,15:08,6.4,57.6,1740,2,23.2,612.5,9.4,8.9,2.9,9.1,
CLBCE,1,20150528,15:08,6.4,57.6,1740,3,20,576.5,10.7,9,3.2,9.1,
CLBCE,1,20150528,15:08,6.4,57.6,1740,4,17.7,580.5,9.7,8.9,2.8,9.1,
CLBCE,1,20150528,15:08,6.4,57.6,1740,5,14.8,628.3,3.5,7.8,2.7,9.1,5
CLBCE,1,20150528,15:08,6.4,57.6,1740,6,13.3,620.6,0.4,7.6,3.2,9.1,
CLBCE,1,20150528,15:08,6.4,57.6,1740,7,12.6,686.1,0.1,7.5,2.8,9.1,
CLBCE,2,20150528,18:51,7.2,57.6,5130,0,25.4,677.2,9.5,8.8,2.5,12.8,
CLBCE,2,20150528,18:51,7.2,57.6,5130,1,24.4,661.5,9.9,8.9,2.7,12.8,
CLBCE,2,20150528,18:51,7.2,57.6,5130,2,22.9,660.4,10.2,8.9,2.8,12.8,
CLBCE,2,20150528,18:51,7.2,57.6,5130,3,20,616.9,10.4,9,3.1,12.8,
CLBCE,2,20150528,18:51,7.2,57.6,5130,4,18.3,721,5.9,8.2,3.4,12.8,
CLBCE,2,20150528,18:51,7.2,57.6,5130,5,16.1,736.9,0.4,7.5,3.9,12.8,5
CLBCE,2,20150528,18:51,7.2,57.6,5130,6,13.6,741.3,0,7.5,3.3,12.8,
CLBCE,2,20150528,18:51,7.2,57.6,5130,7,12.9,740.6,0,7.5,2.9,12.8,
CLBCE,3,20150529,10:11,5.6,54.0,7068,0,24.3,706.7,9.1,8.8,3,4.1,
CLBCE,3,20150529,10:11,5.6,54.0,7068,1,24.3,706.7,9.1,8.8,3,4.1,
CLBCE,3,20150529,10:11,5.6,54.0,7068,2,22.9,718.1,9.5,8.8,2.9,4.1,
CLBCE,3,20150529,10:11,5.6,54.0,7068,3,19.7,733.9,7.6,8.5,3,4.1,
CLBCE,3,20150529,10:11,5.6,54.0,7068,4,18,795.9,2.9,7.8,3.9,4.1,4
CLBCE,3,20150529,10:11,5.6,54.0,7068,5,16,817.1,0.1,7.5,4.3,4.1,
CLBCE,4,20150529,12:05,3.6,38.4,9534,0,24.6,812.9,9.7,8.8,4.5,6.0,
CLBCE,4,20150529,12:05,3.6,38.4,9534,1,24.3,810.9,9.7,8.8,4.4,6.0,
CLBCE,4,20150529,12:05,3.6,38.4,9534,2,23.1,810.5,9.4,8.7,4.9,6.0,
CLBCE,4,20150529,12:05,3.6,38.4,9534,3,21.2,856.4,5.8,8.2,6.6,6.0,
CLBCE,5,20150528,17:27,6.8,56.4,2988,0,26.2,633.9,9.1,8.8,1.9,11.4,
CLBCE,5,20150528,17:27,6.8,56.4,2988,1,23.9,626.1,9.7,8.9,2.2,11.4,
CLBCE,5,20150528,17:27,6.8,56.4,2988,2,22.8,620,10.1,8.9,2.5,11.4,
CLBCE,5,20150528,17:27,6.8,56.4,2988,3,20.5,598.2,10.6,9,3.5,11.4,
CLBCE,5,20150528,17:27,6.8,56.4,2988,4,17.7,598,9.4,8.8,3,11.4,
CLBCE,5,20150528,17:27,6.8,56.4,2988,5,15.3,672.9,2.2,7.7,3.2,11.4,5
CLBCE,5,20150528,17:27,6.8,56.4,2988,6,13.6,666.1,0.3,7.6,3.9,11.4,
CLBCE,5,20150528,17:27,6.8,56.4,2988,7,13,715.1,0.1,7.5,5.8,11.4,
CLBCE,6,20150529,9:16,3.2,40.8,6669,0,23.3,664,9.1,8.8,5.1,3.2,
CLBCE,6,20150529,9:16,3.2,40.8,6669,1,23.2,661.6,9.4,8.8,4.5,3.2,
CLBCE,6,20150529,9:16,3.2,40.8,6669,2,22.2,669.7,9.3,8.8,3.6,3.2,
CLBCE,6,20150529,9:16,3.2,40.8,6669,3,20.6,646.6,8,8.6,4.5,3.2,
CLBCE,7,20150529,11:17,4.3,43.2,8430,0,24.9,804.6,9.5,8.8,3.4,5.2,
CLBCE,7,20150529,11:17,4.3,43.2,8430,1,23.9,816.5,10.1,8.8,4.4,5.2,
CLBCE,7,20150529,11:17,4.3,43.2,8430,2,23.1,773.7,9.6,8.8,4.5,5.2,
CLBCE,7,20150529,11:17,4.3,43.2,8430,3,20.2,762.9,7.6,8.6,3.7,5.2,
CLBCE,7,20150529,11:17,4.3,43.2,8430,4,18.6,874.3,1.6,7.6,6.4,5.2,4
CLBCE,8,20150529,11:42,3.9,42.0,9024,0,24.4,815.5,9.9,8.8,4.6,5.6,
CLBCE,8,20150529,11:42,3.9,42.0,9024,1,24,815.1,10.1,8.8,4.8,5.6,
CLBCE,8,20150529,11:42,3.9,42.0,9024,2,22,834,7.9,8.5,5.4,5.6,
CLBCE,8,20150529,11:42,3.9,42.0,9024,3,20.6,859.4,5.4,8.1,6.1,5.6,
CLBCE,8,20150529,11:42,3.9,42.0,9024,4,18.6,916.2,0.3,7.6,13,5.6,4
CLBCE,9,20150528,14:12,9.4,56.4,381,0,24.6,586,9.6,8.9,2.8,8.1,
CLBCE,9,20150528,14:12,9.4,56.4,381,1,24,586.7,9.8,8.9,2.5,8.1,
CLBCE,9,20150528,14:12,9.4,56.4,381,2,23.2,585.7,9.9,8.9,2.4,8.1,
CLBCE,9,20150528,14:12,9.4,56.4,381,3,19.5,567,10.9,9,2.8,8.1,
CLBCE,9,20150528,14:12,9.4,56.4,381,4,16.7,573.6,8.6,8.6,2.9,8.1,
CLBCE,9,20150528,14:12,9.4,56.4,381,5,14.9,582.3,5.3,7.9,3.4,8.1,
CLBCE,9,20150528,14:12,9.4,56.4,381,6,13.4,592.1,0.7,7.5,2.9,8.1,6
CLBCE,9,20150528,14:12,9.4,56.4,381,7,11.8,627.9,0.1,7.5,2.4,8.1,
CLBCE,9,20150528,14:12,9.4,56.4,381,8,11.4,681,0,7.5,2.5,8.1,
CLBCE,9,20150528,14:12,9.4,56.4,381,9,10.9,756,0,7.4,2.5,8.1,
CLBCE,10,20150528,10:21,5.1,54.0,7364,0,24.5,735.5,9.2,8.8,2.5,4.3,
CLBCE,10,20150528,10:21,5.1,54.0,7364,1,24,719.8,9.1,8.8,2.8,4.3,
CLBCE,10,20150528,10:21,5.1,54.0,7364,2,22.8,714.2,9.3,8.8,3.5,4.3,
CLBCE,10,20150528,10:21,5.1,54.0,7364,3,19.6,737.5,6.9,8.4,4,4.3,
CLBCE,10,20150528,10:21,5.1,54.0,7364,4,18,831.1,2.1,7.7,4.3,4.3,4
