lake,site,month,monlak,date ,time,samplingtime,sunrise,Time from sunrise,daylight,depth,temp,spcond,do,domgl,ph,turb,dist,totdepth,depthbelow3,avgdoepi,thermocline,avgtemp,avgspcond,avgdo,avgdomgl,avgph,avgturb,
clb,1,4,4clb,20150429,11:46,33,6:27,5:19,5.32,0,14.1,552,,10.52,,,1740,6,,11,,,,,,,,
clb,1,4,4clb,20150429,11:46,,6:27,5:19,5.32,1,13.7,,,11.07,,,,,,,,,,,,,,
clb,1,4,4clb,20150429,11:46,,6:27,5:19,5.32,2,12.8,,,11.45,,,,,,,,,,,,,,
clb,1,4,4clb,20150429,11:46,,6:27,5:19,5.32,3,12.4,,,11.28,,,,,,,,,,,,,,
clb,1,4,4clb,20150429,11:46,,6:27,5:19,5.32,4,12.4,,,10.64,,,,,,,,,,,,,,
clb,1,4,4clb,20150429,11:46,,6:27,5:19,5.32,5,12.3,,,10.17,,,,,,,,,,,,,,
clb,1,4,4clb,20150429,11:46,,6:27,5:19,5.32,6,12.1,,,9.25,,,,,,,,,,,,,,
clb,2,4,4clb,20150429,11:03,27,6:27,4:36,4.6,0,14.9,577,,10.71,,,5130,7,,11.2,,,,,,,,
clb,2,4,4clb,20150429,11:03,,6:27,4:36,4.6,1,13.4,,,11.21,,,,,,,,,,,,,,
clb,2,4,4clb,20150429,11:03,,6:27,4:36,4.6,2,13.1,,,11.53,,,,,,,,,,,,,,
clb,2,4,4clb,20150429,11:03,,6:27,4:36,4.6,3,12.9,,,11.56,,,,,,,,,,,,,,
clb,2,4,4clb,20150429,11:03,,6:27,4:36,4.6,4,12.6,,,10.75,,,,,,,,,,,,,,
clb,2,4,4clb,20150429,11:03,,6:27,4:36,4.6,5,12.4,,,10.25,,,,,,,,,,,,,,
clb,2,4,4clb,20150429,11:03,,6:27,4:36,4.6,6,12.4,,,10.08,,,,,,,,,,,,,,
clb,2,4,4clb,20150429,11:03,,6:27,4:36,4.6,7,12.1,,,7.61,,,,,,,,,,,,,,
clb,3,4,4clb,20150429,10:27,21,6:27,4:00,4,0,14,404,,11.77,,,7068,5,,11.5,,,,,,,,
clb,3,4,4clb,20150429,10:27,,6:27,4:00,4,1,13.9,,,11.81,,,,,,,,,,,,,,
clb,3,4,4clb,20150429,10:27,,6:27,4:00,4,2,13.4,,,11.8,,,,,,,,,,,,,,
clb,3,4,4clb,20150429,10:27,,6:27,4:00,4,3,13.3,,,11.51,,,,,,,,,,,,,,
clb,3,4,4clb,20150429,10:27,,6:27,4:00,4,4,12.6,,,10.83,,,,,,,,,,,,,,
clb,3,4,4clb,20150429,10:27,,6:27,4:00,4,5,12.5,,,9.92,,,,,,,,,,,,,,
clb,4,4,4clb,20150429,9:25,9,6:27,2:58,2.97,0,14,643,,11.24,,,9534,3,,11,,,,,,,,
clb,4,4,4clb,20150429,9:25,,6:27,2:58,2.97,1,13.7,,,11.24,,,,,,,,,,,,,,
clb,4,4,4clb,20150429,9:25,,6:27,2:58,2.97,2,13.2,,,10.97,,,,,,,,,,,,,,
clb,4,4,4clb,20150429,9:25,,6:27,2:58,2.97,3,12.7,,,10.45,,,,,,,,,,,,,,
clb,5,4,4clb,20150429,11:35,31,6:27,5:08,5.13,0,14.5,562,,11.07,,,2988,7,,11,,,,,,,,
clb,5,4,4clb,20150429,11:35,,6:27,5:08,5.13,1,13.1,,,11.18,,,,,,,,,,,,,,
clb,5,4,4clb,20150429,11:35,,6:27,5:08,5.13,2,12.8,,,11.47,,,,,,,,,,,,,,
clb,5,4,4clb,20150429,11:35,,6:27,5:08,5.13,3,12.5,,,10.73,,,,,,,,,,,,,,
clb,5,4,4clb,20150429,11:35,,6:27,5:08,5.13,4,12.5,,,10.38,,,,,,,,,,,,,,
clb,5,4,4clb,20150429,11:35,,6:27,5:08,5.13,5,12.4,,,10.03,,,,,,,,,,,,,,
clb,5,4,4clb,20150429,11:35,,6:27,5:08,5.13,6,12.2,,,8.66,,,,,,,,,,,,,,
clb,5,4,4clb,20150429,11:35,,6:27,5:08,5.13,7,11.4,,,5.05,,,,,,,,,,,,,,
clb,6,4,4clb,20150429,10:38,23,6:27,4:11,4.18,0,13.9,542,,11.08,,,6669,3,,11.2075,,,,,,,,
clb,6,4,4clb,20150429,10:38,,6:27,4:11,4.18,1,13.1,,,11.29,,,,,,,,,,,,,,
clb,6,4,4clb,20150429,10:38,,6:27,4:11,4.18,2,12.9,,,11.3,,,,,,,,,,,,,,
clb,6,4,4clb,20150429,10:38,,6:27,4:11,4.18,3,12.5,,,11.16,,,,,,,,,,,,,,
clb,7,4,4clb,20150429,9:43,13,6:27,3:16,3.27,0,13.9,627,,11.14,,,8430,4,,10.5,,,,,,,,
clb,7,4,4clb,20150429,9:43,,6:27,3:16,3.27,1,13.6,,,11.35,,,,,,,,,,,,,,
clb,7,4,4clb,20150429,9:43,,6:27,3:16,3.27,2,13.5,,,11.45,,,,,,,,,,,,,,
clb,7,4,4clb,20150429,9:43,,6:27,3:16,3.27,3,12.9,,,10.99,,,,,,,,,,,,,,
clb,7,4,4clb,20150429,9:43,,6:27,3:16,3.27,4,12.2,,,7.65,,,,,,,,,,,,,,
clb,8,4,4clb,20150429,8:37,,6:27,2:10,2.17,0,11.4,,,10.5,,,,1,,10.4,,,,,,,,
clb,8,4,4clb,20150429,8:37,,6:27,2:10,2.17,1,11.9,,,10.27,,,,,,,,,,,,,,
clb,9,4,4clb,20150429,12:08,36,6:27,5:41,5.68,0,14.5,547,,11.65,,,381,9,,11.6,,,,,,,,
clb,9,4,4clb,20150429,12:08,,6:27,5:41,5.68,1,13.2,,,11.94,,,,,,,,,,,,,,
clb,9,4,4clb,20150429,12:08,,6:27,5:41,5.68,2,12.5,,,11.79,,,,,,,,,,,,,,
clb,9,4,4clb,20150429,12:08,,6:27,5:41,5.68,3,12.3,,,11.49,,,,,,,,,,,,,,
clb,9,4,4clb,20150429,12:08,,6:27,5:41,5.68,4,12.2,,,10.98,,,,,,,,,,,,,,
clb,9,4,4clb,20150429,12:08,,6:27,5:41,5.68,5,12.1,,,9.57,,,,,,,,,,,,,,
clb,9,4,4clb,20150429,12:08,,6:27,5:41,5.68,6,11.7,,,9.58,,,,,,,,,,,,,,
clb,9,4,4clb,20150429,12:08,,6:27,5:41,5.68,7,11.6,,,7.7,,,,,,,,,,,,,,
